pH,Latitude,Longitude,Location,Depth_m,Altitude_m,Salinity_PSU,Temperature_C,Oxygen_mg_L,Turbidity_NTU,Nitrate_mg_L,Chlorophyll_ug_L
8.17,38.8539,-105.4986,Caribbean Sea,2565.2,2646.7,36.9,15.64,5.6,66.23,22.56,8.56
7.77,-59.7383,104.6937,Indian Ocean,1073.2,-221.3,30.53,4.29,6.2,60.07,42.83,9.13
7.65,46.2896,-132.2398,South Atlantic Ocean,2818.1,2415.0,33.93,13.48,9.22,87.63,19.68,0.16
8.42,-33.4867,-164.6918,Southern Ocean,8125.0,1364.1,30.75,23.89,2.4,95.5,40.06,5.62
8.22,21.5743,-38.393,Bering Sea,4571.8,1751.4,39.11,2.68,9.76,73.17,29.88,6.23
8.44,62.5521,-174.368,North Pacific Ocean,7305.6,-96.9,30.56,10.41,9.21,39.47,9.39,8.66
8.31,20.7725,-51.2073,Baltic Sea,8409.5,-76.3,31.35,28.48,4.9,74.39,2.89,6.9
7.73,-59.1605,100.9654,Arabian Sea,3608.7,2018.4,33.52,15.02,9.32,57.87,26.26,9.28
8.2,0.0124,107.7475,Gulf of Mexico,9835.1,2399.7,36.27,15.86,8.57,94.31,48.53,2.41
8.06,-44.4431,-43.4052,Southern Ocean,9476.6,2937.0,35.23,11.73,4.01,90.45,49.0,5.99
7.78,9.5102,43.3108,South Atlantic Ocean,4545.5,2743.8,34.96,22.67,9.4,84.02,41.03,8.47
8.37,-75.7743,43.4411,South Atlantic Ocean,9079.4,2344.8,30.21,8.6,1.52,65.04,4.66,5.42
8.28,86.8376,-23.8909,Bering Sea,3707.8,2897.8,36.58,0.14,2.48,17.1,8.5,2.12
7.63,21.659,14.4825,North Atlantic Ocean,7957.1,1983.6,33.73,31.58,6.32,76.97,27.92,8.23
8.07,-21.3055,44.5582,Indian Ocean,10682.7,2978.6,37.12,2.35,1.07,87.88,46.03,5.95
8.27,-27.9213,-21.3623,South Pacific Ocean,3427.0,808.7,34.22,24.43,7.8,75.09,29.47,5.93
7.66,14.57,160.4152,Caribbean Sea,6297.9,-315.6,38.31,16.37,6.81,58.56,1.25,7.93
8.49,30.9823,131.3187,Bay of Bengal,3963.4,2031.1,32.03,26.14,9.17,74.44,41.25,1.81
8.1,-47.8057,72.7599,Norwegian Sea,5471.1,312.1,36.85,24.91,5.88,36.62,5.16,9.71
8.36,9.1719,23.3825,Red Sea,2395.9,802.4,39.07,21.25,8.33,14.02,21.18,7.74
8.05,64.2245,68.9109,Caribbean Sea,4710.0,474.3,31.25,0.79,1.1,33.8,44.41,5.44
7.81,55.8578,118.8187,Bering Sea,7090.5,-474.4,39.44,8.46,4.56,86.04,23.1,6.28
8.34,-56.7895,-138.088,Gulf of Mexico,3791.0,1263.7,34.29,13.83,3.85,89.6,46.9,2.29
7.95,-21.019,-140.0912,Coral Sea,3178.7,-215.7,34.13,-1.13,1.7,20.06,20.92,0.08
8.08,52.3418,-43.8558,Arabian Sea,3641.5,277.5,31.19,33.79,2.08,8.75,12.28,6.83
8.08,-34.3552,159.715,North Pacific Ocean,3436.3,923.9,38.91,5.78,9.95,9.8,36.58,9.19
7.56,48.3849,-130.9682,North Pacific Ocean,1764.6,1285.1,36.54,34.72,1.49,54.57,1.77,6.56
7.84,37.6716,4.593,Caribbean Sea,9969.4,2116.5,38.62,5.91,5.88,26.7,0.42,3.66
7.83,-57.1062,-98.7731,Baltic Sea,10512.8,234.3,37.1,23.94,3.72,42.77,3.88,8.15
7.54,35.4344,-124.7173,North Atlantic Ocean,2912.5,1205.4,34.55,16.34,9.67,54.55,41.4,0.99
7.6,60.7037,135.4821,North Atlantic Ocean,6783.6,1876.1,34.61,8.64,3.97,5.71,17.34,9.82
8.07,73.2897,69.6501,North Pacific Ocean,3466.8,1650.6,38.49,24.93,4.09,78.93,0.64,4.45
7.82,-45.9162,52.0606,Red Sea,6380.9,61.7,34.74,18.77,5.92,17.94,38.03,8.11
8.0,89.4411,25.7801,Baltic Sea,3225.9,2398.9,31.51,22.44,2.44,45.14,19.01,8.97
7.98,-1.7477,78.9633,Southern Ocean,668.9,-434.8,33.57,18.01,9.14,87.13,49.42,4.01
8.15,-44.7285,94.4263,Coral Sea,1647.6,1034.1,38.2,0.97,7.65,82.22,14.8,8.27
8.35,39.9371,-46.6895,Coral Sea,5755.2,538.4,30.26,33.92,8.95,88.86,48.94,3.75
7.73,38.3267,-38.4944,Norwegian Sea,2743.1,-150.6,35.06,20.73,9.87,71.16,48.67,2.37
7.86,20.5576,-109.177,Bering Sea,5319.7,2161.8,33.34,26.47,9.83,23.53,17.3,8.17
8.06,-63.9337,130.5947,North Atlantic Ocean,10010.5,2538.9,33.93,5.19,4.81,39.68,45.2,2.08
8.24,-84.2474,-131.5094,Coral Sea,451.6,1372.5,32.76,20.46,9.06,10.1,1.69,3.17
7.88,42.3603,17.5989,Coral Sea,8968.2,1489.4,37.42,23.04,6.22,37.28,3.35,4.6
7.77,-27.1621,-169.2634,Bay of Bengal,5356.0,1454.7,39.44,14.44,9.78,0.49,35.54,4.04
8.18,-72.4165,3.1294,South Pacific Ocean,1697.9,743.1,33.51,10.3,5.32,54.25,31.63,2.96
8.16,77.6078,129.1789,Red Sea,2553.8,1322.6,34.57,23.16,5.46,5.18,6.75,1.15
8.26,76.7297,153.7577,Red Sea,10899.7,1435.0,36.97,33.63,7.39,11.03,5.91,2.8
8.0,25.6115,123.6486,Gulf of Mexico,3825.1,2992.1,34.68,21.02,1.63,58.24,18.19,5.14
7.58,-46.3053,94.938,South Pacific Ocean,712.8,670.0,35.43,21.03,1.92,6.59,8.34,0.37
8.09,87.2357,-122.9335,Bay of Bengal,6443.3,2242.8,35.6,10.03,6.37,69.04,19.47,2.45
7.81,-46.61,35.0343,Bay of Bengal,2114.1,469.1,36.41,5.49,7.21,67.41,2.61,5.62
8.5,-88.086,-136.0494,South Atlantic Ocean,9883.1,552.0,34.24,30.57,6.86,91.51,32.89,5.43
8.08,71.9142,-150.9319,South Pacific Ocean,3900.8,-360.1,31.49,0.06,7.6,46.86,32.26,8.87
7.94,-54.6946,-176.0344,Southern Ocean,6801.8,12.5,33.9,23.09,4.79,99.3,35.06,3.14
8.26,23.3573,-99.0761,Norwegian Sea,9366.7,917.2,38.62,19.69,3.05,92.19,30.52,2.89
8.48,-47.0976,87.3027,North Pacific Ocean,10825.0,2333.2,32.95,23.81,5.19,43.18,21.28,3.75
7.99,-9.5612,-7.1211,Caribbean Sea,10542.4,1362.7,35.71,29.63,1.83,31.55,17.04,7.16
7.83,-17.4497,-120.3552,Red Sea,1236.1,1039.2,30.83,27.24,6.31,48.87,45.24,1.83
7.98,-22.5076,-90.6503,Bay of Bengal,3715.2,2429.8,37.08,15.43,4.92,47.15,23.63,1.26
8.19,-32.7916,-84.0215,Red Sea,7073.7,2115.5,33.94,12.28,2.2,16.05,47.13,2.75
8.17,-87.2607,116.1161,Indian Ocean,1366.3,954.0,31.79,12.62,9.9,80.2,14.86,5.85
8.25,-51.3687,-79.4294,Coral Sea,4210.6,2961.9,37.86,16.03,9.22,9.65,34.02,0.33
8.12,88.9479,-103.7184,Bering Sea,10454.8,2290.7,39.81,24.61,9.4,11.61,7.47,8.2
8.45,-88.6052,-27.2928,Southern Ocean,2098.3,933.5,32.85,26.89,4.72,57.84,45.81,3.33
7.86,-77.061,138.3101,Gulf of Mexico,5467.3,2344.5,30.95,12.39,5.92,22.96,46.01,1.95
7.5,-84.1856,88.8361,Southern Ocean,545.0,1477.5,31.99,12.91,8.47,88.46,1.67,8.27
7.65,2.5309,60.8818,North Pacific Ocean,7039.4,-293.3,37.49,33.99,5.58,99.81,12.29,9.45
7.54,-83.3641,150.9456,South Pacific Ocean,6525.1,2019.1,32.6,29.82,4.96,15.49,36.2,0.17
7.65,6.5698,106.9725,Coral Sea,9189.0,892.2,31.89,6.52,6.72,93.88,48.43,6.82
7.71,-31.2495,-58.8698,Baltic Sea,9590.3,2036.7,37.76,14.84,2.59,78.82,15.52,3.58
7.77,67.9858,-160.1742,Gulf of Mexico,2336.6,1148.0,33.74,32.71,1.46,37.87,25.84,5.84
7.52,-25.3869,-145.2985,North Atlantic Ocean,9451.7,501.3,34.55,1.67,8.94,53.32,27.66,5.84
7.78,57.5743,-42.8028,Bering Sea,10780.1,533.1,39.65,33.31,4.23,39.15,13.45,9.51
7.65,36.8165,-51.9899,South Atlantic Ocean,9732.0,117.5,36.2,33.92,1.2,51.41,42.7,7.51
7.59,84.513,123.3494,Coral Sea,9500.3,2623.0,32.76,1.2,6.33,51.46,48.26,4.62
8.08,-10.3494,173.4498,Bay of Bengal,6292.2,2837.0,32.0,7.34,1.52,75.91,35.31,7.65
7.69,81.8514,164.7539,Arabian Sea,7206.4,1952.9,34.9,-1.25,6.66,66.32,9.8,4.03
7.58,26.4025,56.6674,Indian Ocean,8670.6,-235.5,37.91,30.93,6.29,7.76,28.38,0.27
7.68,-21.1116,-34.4173,Baltic Sea,1960.5,1209.0,31.59,2.91,3.76,29.82,30.36,1.86
8.37,-1.8164,-46.6192,Norwegian Sea,10752.3,-236.5,35.26,8.63,1.5,8.38,4.72,3.33
8.03,41.4526,-171.2829,Baltic Sea,3279.4,593.5,36.73,32.33,4.37,42.72,40.06,4.38
8.03,69.3012,132.9398,Caribbean Sea,5660.1,-366.5,31.07,12.23,1.65,48.32,29.79,2.55
7.77,-16.9421,144.7917,South Pacific Ocean,6029.9,2984.1,37.36,12.31,4.8,35.6,26.61,6.99
8.02,79.7283,-106.4769,Bering Sea,9203.2,996.3,38.51,9.86,9.91,17.89,19.13,0.08
8.24,-3.8986,-53.3103,North Pacific Ocean,5122.7,463.9,37.0,31.9,3.56,36.86,46.79,7.65
8.1,48.6681,42.8708,South Atlantic Ocean,4558.9,-216.7,31.37,34.49,4.48,69.02,0.69,6.62
8.04,73.3727,-73.9949,South Atlantic Ocean,3891.8,3.2,32.58,29.94,5.1,12.24,9.14,4.92
7.86,-50.4209,-52.6755,Norwegian Sea,9729.0,301.0,31.9,6.82,1.71,52.48,40.52,8.87
8.13,-53.8339,-14.1102,Arabian Sea,9367.8,1055.2,38.87,21.87,4.66,69.81,8.41,0.3
8.36,32.7426,-49.1807,Indian Ocean,4720.0,-18.4,36.53,14.54,7.71,20.61,2.01,0.53
7.69,23.7865,-140.8973,Baltic Sea,4572.1,-172.7,35.22,28.9,3.87,92.15,3.08,2.49
8.32,59.112,82.0027,Southern Ocean,2080.9,1872.6,35.17,28.86,5.55,13.56,37.11,4.15
7.98,7.462,-122.5282,Caribbean Sea,5535.4,1576.5,37.66,18.59,3.15,15.8,19.39,7.44
8.48,40.7895,128.5439,Baltic Sea,3735.8,140.9,34.17,30.21,9.97,12.47,37.37,9.71
7.76,-59.3937,-63.172,Gulf of Mexico,4466.0,1282.4,32.35,8.44,5.32,79.93,29.9,1.06
7.6,8.1588,-87.9517,Coral Sea,2153.5,327.9,36.31,20.62,5.34,9.61,44.89,8.0
7.66,-88.1603,75.7549,Gulf of Mexico,6768.7,-201.8,38.69,33.38,5.71,50.57,49.26,0.61
7.52,32.7482,98.0904,Bay of Bengal,4796.9,2008.2,34.72,11.82,7.14,88.77,23.27,7.98
7.87,84.7068,-67.799,Coral Sea,9971.0,1341.4,33.61,30.26,9.53,56.89,44.73,3.35
7.82,-58.4211,144.664,Southern Ocean,4688.2,1612.9,30.16,20.35,1.25,36.29,2.35,9.33
8.14,-65.403,59.0989,South Atlantic Ocean,8672.1,27.4,39.92,18.12,3.16,45.35,0.85,5.2
7.66,-4.7571,-133.7664,South Pacific Ocean,6542.4,2129.8,33.48,18.59,9.94,2.61,24.8,6.32
8.26,-9.6488,-127.9436,Coral Sea,9886.6,2190.3,38.75,30.69,3.98,50.12,46.95,7.83
7.82,-10.2934,-98.9433,Indian Ocean,9458.5,1247.6,35.33,23.75,2.81,90.06,28.92,7.76
8.38,-37.7222,101.6738,South Atlantic Ocean,9505.3,2533.8,30.43,12.38,7.92,87.44,7.85,3.39
7.68,-65.1203,156.7981,Bay of Bengal,10760.1,2971.8,33.54,9.22,4.81,6.97,35.91,3.42
8.3,76.117,98.4849,South Pacific Ocean,1192.2,1032.6,32.42,32.67,8.87,49.06,36.73,8.75
7.69,-27.2479,-171.1253,Bay of Bengal,3052.2,1931.7,33.99,22.75,8.31,9.95,19.25,5.27
7.52,-16.6955,-126.6013,Baltic Sea,1.5,-425.8,34.09,28.15,6.65,58.74,34.83,0.02
7.56,-14.1452,10.9227,Coral Sea,8870.7,-259.1,36.34,4.46,7.71,45.62,42.45,5.05
8.32,-66.9908,27.6742,Coral Sea,7661.7,1257.5,36.32,30.09,2.48,67.47,3.12,6.04
8.03,-54.3662,121.8491,Red Sea,10236.5,103.1,37.24,27.97,9.55,50.61,15.01,1.52
7.82,-87.6904,-49.9245,Baltic Sea,7787.7,-418.8,38.77,28.45,4.81,43.88,27.17,8.13
8.14,-0.4816,130.0786,Baltic Sea,648.5,-279.9,35.49,-1.76,5.75,35.53,43.57,1.58
7.88,9.7689,-122.6129,South Atlantic Ocean,2385.7,-133.8,32.79,21.53,1.17,6.57,38.47,3.3
8.32,-51.5671,-110.0918,Norwegian Sea,1021.0,2751.9,39.19,15.93,4.13,68.92,18.49,0.73
8.25,-13.8609,-76.9499,North Atlantic Ocean,178.8,1864.4,38.37,7.77,6.09,17.49,19.85,8.6
7.97,34.3867,-91.8491,South Pacific Ocean,2993.3,2260.9,34.05,33.31,5.23,81.76,7.41,7.15
7.51,-43.3317,101.9432,Indian Ocean,6372.6,95.3,34.25,31.4,7.1,32.31,34.75,6.72
8.02,-23.9024,-57.415,Coral Sea,9581.1,639.6,34.46,12.85,2.42,68.31,13.71,6.69
7.88,36.737,-139.6013,Indian Ocean,7301.5,-104.8,34.03,28.4,1.1,98.05,4.94,7.76
8.09,17.4224,6.3697,Norwegian Sea,2032.8,2538.7,39.36,17.36,7.16,45.05,39.94,9.66
7.66,1.1119,-134.4388,North Pacific Ocean,5290.6,1060.6,32.06,28.52,7.48,77.14,4.7,6.76
8.16,66.276,116.4748,Indian Ocean,2524.2,2598.7,36.78,20.54,2.38,79.2,35.09,6.2
7.71,-77.3317,-60.349,Norwegian Sea,6560.0,1759.8,31.64,29.75,9.73,3.36,5.06,5.82
8.48,4.6934,-2.0512,North Atlantic Ocean,6599.6,2703.5,30.32,3.62,1.64,53.81,13.24,0.61
8.32,35.954,138.1746,Baltic Sea,3909.8,1961.5,30.88,24.95,5.7,32.43,32.07,8.34
7.68,-40.2937,-35.4822,North Atlantic Ocean,1834.0,1410.5,30.36,8.08,6.93,44.7,29.08,8.09
8.04,-38.2242,-145.3326,Red Sea,7892.4,-465.5,38.13,9.26,5.64,30.03,24.85,9.76
7.95,-0.2577,131.5245,Norwegian Sea,3292.3,609.8,39.92,12.0,5.89,54.13,38.77,6.98
8.31,-28.6338,-130.5538,Baltic Sea,10216.3,1682.4,39.44,1.63,4.69,90.24,37.46,6.73
8.24,-13.7044,90.6448,North Atlantic Ocean,4331.5,2984.9,30.19,24.64,4.91,5.09,48.01,0.76
7.8,34.3832,-21.1616,Caribbean Sea,85.5,1304.7,38.14,34.27,5.39,21.48,7.96,1.72
7.86,-22.88,97.3231,Baltic Sea,5939.8,1814.8,33.35,12.1,4.78,89.32,41.51,7.74
7.56,-85.0518,-142.7737,North Atlantic Ocean,5616.1,2769.4,30.84,-1.76,4.18,7.27,9.76,7.16
8.07,-73.2254,87.4773,Caribbean Sea,3885.1,-93.4,34.01,12.4,1.64,36.86,4.19,9.01
8.26,1.0333,38.9092,North Atlantic Ocean,1425.8,1368.1,35.2,-1.05,8.13,25.15,0.49,0.42
7.92,78.3221,-98.9929,Bering Sea,7460.3,2254.3,34.58,19.71,4.98,17.48,32.03,2.73
8.45,-38.6348,-23.7929,Southern Ocean,3287.5,836.2,31.07,24.76,2.38,27.25,38.5,8.26
7.64,-85.7037,129.244,Coral Sea,495.5,1559.7,39.39,9.28,9.31,58.15,9.1,3.38
8.39,56.4996,14.0229,Bering Sea,10061.3,1971.7,39.15,4.61,6.29,96.81,42.29,1.72
7.52,48.9329,-131.9545,Coral Sea,1772.7,2177.2,36.96,-0.56,3.75,41.43,7.91,3.32
8.41,66.7918,92.0754,Caribbean Sea,1646.5,425.0,32.76,30.37,8.41,44.64,10.31,6.71
7.81,-6.0864,-135.4468,Bering Sea,1602.2,214.1,36.62,16.65,6.43,39.93,16.64,3.15
7.61,-76.3769,-53.2684,Bay of Bengal,2656.5,2722.9,31.74,0.45,7.38,95.54,49.98,7.24
8.49,-63.3975,-142.2462,North Pacific Ocean,2556.8,-419.0,33.18,10.53,6.13,13.11,29.44,9.47
8.24,82.8696,-37.3106,Red Sea,1526.2,2315.6,39.41,14.16,7.26,30.54,16.21,6.94
8.03,64.0871,128.3266,Southern Ocean,8399.4,275.3,30.24,12.58,2.93,3.01,20.28,9.0
7.89,19.2079,100.1395,Baltic Sea,7952.6,2172.2,33.17,29.96,3.03,34.41,35.94,4.61
7.76,-80.6752,147.5587,Caribbean Sea,437.5,1377.3,34.82,13.45,8.29,27.76,9.08,9.26
8.1,-78.0039,14.3802,Bering Sea,1363.1,1249.6,38.39,8.32,10.0,24.29,10.21,7.19
7.95,-57.0339,55.9438,Norwegian Sea,8732.1,706.5,38.8,13.69,4.14,22.28,14.14,0.8
8.01,28.576,47.6409,North Atlantic Ocean,5851.6,2733.5,36.76,11.74,3.46,33.34,28.83,2.05
7.96,85.1047,-162.065,Caribbean Sea,2307.9,132.9,33.6,0.85,1.53,25.21,14.28,4.03
8.14,14.2856,38.2235,Baltic Sea,8691.0,-312.6,39.79,34.6,5.24,6.23,29.61,4.69
8.42,60.8422,-10.4307,Arabian Sea,8163.6,1435.2,30.24,15.04,9.08,26.37,31.92,6.19
8.45,47.8638,-50.2546,Indian Ocean,7993.2,-135.4,39.64,5.31,3.47,97.72,25.83,7.29
8.34,-42.8226,-122.7012,Arabian Sea,930.5,1519.8,39.47,15.36,5.84,94.47,40.29,0.3
7.77,14.9445,-134.9285,Red Sea,8287.6,1325.0,33.94,17.74,5.46,71.45,30.43,2.25
7.75,37.3273,2.5944,Baltic Sea,4408.2,1844.7,31.94,12.79,6.53,19.17,11.84,0.09
8.08,-31.9978,-119.8064,Red Sea,2381.0,2535.4,37.99,10.73,5.36,57.52,49.12,5.27
8.47,19.9337,89.7263,Coral Sea,5078.0,749.5,36.77,24.03,2.17,84.02,24.69,9.21
8.05,-66.7092,98.162,Indian Ocean,3283.5,1569.2,36.39,22.86,2.24,11.07,1.66,1.63
7.61,54.139,-76.2278,Norwegian Sea,9588.4,1262.5,38.14,9.53,3.06,53.07,9.29,0.27
8.37,-34.0562,42.2611,Gulf of Mexico,5678.2,122.5,32.18,18.49,3.1,30.69,34.19,0.62
8.25,-35.1516,-157.5244,Caribbean Sea,7672.6,858.7,31.79,3.07,6.15,40.08,5.93,4.91
7.74,41.3134,146.6389,Caribbean Sea,943.1,1296.2,39.08,16.0,6.74,54.22,20.11,9.22
8.13,51.2027,45.5029,Baltic Sea,3472.9,-212.4,34.74,16.45,1.87,47.93,10.75,2.95
7.72,41.4087,-52.1492,Indian Ocean,7533.6,234.8,36.87,5.06,4.95,91.9,25.0,1.3
7.93,-30.1264,18.6628,Gulf of Mexico,3085.2,1080.8,32.87,5.03,5.96,53.32,1.33,3.84
7.74,75.6887,-54.1259,Caribbean Sea,6323.7,1700.3,35.0,3.21,8.9,68.08,6.72,8.85
8.1,17.1202,-150.8468,Indian Ocean,3061.8,1677.7,32.34,30.02,4.34,55.69,43.87,1.19
7.8,-25.293,-85.6022,Bering Sea,2798.0,322.7,36.06,25.24,7.16,40.43,6.67,1.16
7.67,-27.6085,-176.2685,Southern Ocean,2410.3,2846.4,31.58,5.38,8.01,20.6,18.44,1.84
7.56,-75.7989,98.1094,Indian Ocean,2519.9,441.1,31.49,28.98,1.59,8.11,9.94,0.38
8.13,-59.9044,167.9824,Norwegian Sea,8220.0,1129.2,36.85,9.62,9.25,67.74,0.45,2.11
8.1,27.6351,-69.763,North Pacific Ocean,387.7,1383.8,34.0,10.76,4.13,10.15,2.69,9.78
7.69,-33.3775,78.1636,North Pacific Ocean,2731.6,750.1,38.6,0.31,1.96,8.34,39.54,7.86
7.5,-43.5741,8.4851,Baltic Sea,10003.2,1412.6,33.45,24.85,8.77,91.55,35.89,7.51
7.64,-89.083,-172.3507,Gulf of Mexico,3547.5,822.7,33.61,6.35,9.86,97.03,22.25,6.84
7.81,61.8944,170.8208,Southern Ocean,4171.0,1288.6,32.18,14.72,3.37,60.13,44.78,8.72
8.02,-41.0766,166.4934,Baltic Sea,8679.8,1568.9,37.97,3.47,2.37,3.19,7.55,0.92
8.39,-34.7129,140.2988,Indian Ocean,7753.9,-96.4,39.41,26.77,7.36,76.27,3.45,3.26
7.71,88.9132,-66.6163,Bay of Bengal,285.8,1984.5,33.7,16.1,1.09,51.44,39.15,7.04
7.72,-3.8461,-131.7889,South Pacific Ocean,1171.3,2103.6,34.3,32.75,8.16,77.52,1.03,7.97
8.34,6.6403,-66.6823,South Pacific Ocean,4723.4,-211.4,33.15,6.31,6.35,41.37,7.03,8.27
8.01,-79.3891,85.3024,Southern Ocean,5497.3,-336.0,30.04,-0.23,9.79,74.49,17.82,9.8
8.19,1.4264,-7.9501,North Atlantic Ocean,1825.3,2124.6,37.9,10.5,7.06,79.53,9.49,5.63
7.85,-13.3515,150.1017,Gulf of Mexico,2747.2,2831.4,33.56,17.64,4.21,54.65,32.28,2.21
8.34,66.6261,-172.9873,Bay of Bengal,8606.6,854.9,39.5,19.52,5.15,96.88,23.6,2.19
7.95,4.1186,166.1533,South Pacific Ocean,4274.5,2631.1,31.25,28.58,4.2,30.71,38.73,5.86
8.4,66.4542,164.8904,North Pacific Ocean,8705.2,2490.6,37.37,18.88,7.54,94.61,24.04,7.05
7.9,45.8662,102.3627,South Pacific Ocean,8213.3,208.6,39.03,3.83,8.01,4.42,9.36,5.8
8.31,-87.7281,2.6215,Norwegian Sea,4104.5,1583.8,36.53,20.28,2.97,80.53,10.01,7.16
7.56,85.147,-51.0316,Arabian Sea,9240.3,-441.6,35.92,4.55,5.14,56.03,20.35,3.06
8.18,-76.8196,164.0067,Red Sea,6783.6,2585.5,33.98,28.42,3.54,34.35,27.4,4.6
7.64,-83.7012,68.0721,Red Sea,320.0,1323.4,34.38,1.49,3.74,7.61,36.02,3.76
8.4,-34.1793,95.1834,Indian Ocean,2156.6,2855.9,36.36,3.72,8.09,68.99,13.73,5.21
8.46,-13.6384,110.9665,Indian Ocean,2269.1,715.0,34.62,13.24,1.54,67.56,15.12,5.67
7.82,-49.8066,129.7776,Bay of Bengal,102.1,-418.8,39.88,5.79,6.17,72.58,40.92,6.86
8.06,-0.505,0.5236,Gulf of Mexico,7681.8,503.4,34.61,18.45,4.73,74.26,33.36,0.42
7.9,84.2278,164.3358,South Pacific Ocean,7907.6,671.9,38.96,25.24,5.03,11.88,36.68,7.69
8.11,9.982,-73.7622,Red Sea,8982.7,1223.6,32.62,24.2,6.81,85.88,39.51,8.88
7.85,-69.8817,104.6577,Red Sea,5332.5,41.7,36.65,3.63,5.65,14.7,3.74,9.02
8.32,74.1393,-134.2607,Arabian Sea,3660.3,1869.0,39.68,29.55,3.74,56.59,0.68,5.67
7.53,-70.1979,-47.388,North Pacific Ocean,7350.4,-236.0,39.77,7.34,9.09,79.69,38.7,6.44
8.24,-7.6522,-20.1046,Coral Sea,8279.2,312.9,33.59,3.04,5.68,99.99,27.22,5.56
7.51,-6.8888,19.4642,Norwegian Sea,8546.4,-481.2,33.68,13.6,7.62,19.32,28.75,4.26
8.46,41.077,-152.8456,Red Sea,5717.5,1388.9,31.57,-0.58,9.37,28.98,44.65,1.01
7.54,32.3451,-37.615,Indian Ocean,2874.1,252.3,30.85,4.09,9.95,29.6,47.83,1.65
8.3,20.9651,-67.7382,Coral Sea,1008.8,1599.8,32.59,19.72,4.64,71.11,43.05,2.04
8.2,24.5785,-13.7075,Caribbean Sea,5488.8,1474.6,35.16,-1.63,2.3,50.97,11.91,2.4
8.36,46.8889,82.751,Baltic Sea,3599.8,2248.6,36.35,14.55,8.83,39.57,27.53,7.66
7.63,-58.9951,-125.5339,Red Sea,10227.5,1941.5,30.86,26.84,4.96,94.66,11.53,3.89
7.85,85.7448,65.7072,Southern Ocean,10800.4,-330.7,36.27,7.74,2.19,57.49,19.14,1.41
7.59,8.2136,-51.4846,South Atlantic Ocean,215.6,1313.2,33.88,28.87,6.91,83.57,14.41,6.54
7.79,39.8711,-69.6934,Gulf of Mexico,10139.8,2514.3,30.93,33.59,6.37,96.51,26.0,3.15
8.11,14.2003,-35.1868,Caribbean Sea,5484.2,-267.8,30.23,20.96,2.24,50.45,28.4,6.5
8.47,67.575,128.155,North Pacific Ocean,7793.6,2831.0,38.44,30.69,2.04,90.24,26.63,0.88
7.75,15.7034,-155.7611,North Atlantic Ocean,1987.3,2971.8,38.32,28.7,9.49,79.88,3.02,0.15
7.84,-72.7872,26.8058,Arabian Sea,9595.2,980.8,39.04,22.01,7.02,99.73,19.35,9.59
7.91,67.2685,84.5425,Gulf of Mexico,1639.2,603.2,38.93,10.77,9.29,45.04,16.38,1.21
7.53,-71.578,44.7063,North Atlantic Ocean,8150.1,2458.0,39.75,10.86,3.76,2.16,21.74,0.09
8.19,3.8905,12.7365,Baltic Sea,8278.0,2537.0,32.93,29.09,6.46,10.92,23.5,8.94
7.63,-53.6706,43.98,Bering Sea,360.0,2382.9,33.39,4.62,3.76,75.07,47.38,7.94
8.38,-68.2251,-52.5149,Coral Sea,6465.4,2337.1,36.38,29.73,9.56,81.33,9.2,1.59
7.91,-67.9959,-27.0926,North Atlantic Ocean,7080.5,1882.6,34.06,8.32,3.44,36.02,46.79,2.92
8.37,65.8582,-40.3194,Indian Ocean,8446.7,-380.6,36.18,27.81,5.36,11.54,29.86,9.31
8.23,-27.7552,28.8006,Caribbean Sea,7278.7,1520.5,32.7,24.07,7.38,70.91,48.78,7.81
8.28,-26.4641,138.4913,North Atlantic Ocean,579.9,476.5,38.45,12.62,2.4,63.49,10.52,9.61
7.88,33.3454,-9.8185,Caribbean Sea,5280.7,1584.7,36.61,0.57,6.56,5.51,25.27,8.68
8.31,59.7145,-34.1487,South Pacific Ocean,9050.2,556.2,35.54,12.02,4.8,54.73,35.94,1.72
8.06,57.499,63.9371,North Pacific Ocean,6599.2,512.2,36.49,3.37,8.22,24.76,28.24,6.55
7.67,26.5865,-108.6617,Baltic Sea,1674.4,406.3,30.9,11.91,6.42,11.59,7.44,9.6
8.39,39.1998,141.2434,Gulf of Mexico,1870.2,815.5,35.13,4.83,1.9,18.15,14.79,1.83
7.91,20.8505,92.4886,Norwegian Sea,3442.4,794.6,38.8,34.52,2.47,20.98,17.18,1.11
8.4,59.7319,-54.0687,Southern Ocean,5622.6,2522.7,35.69,28.57,3.32,16.02,33.25,5.73
8.08,-27.9676,-104.9919,Bay of Bengal,3625.9,918.2,31.98,29.55,4.11,18.21,39.1,9.6
7.55,-47.1535,50.2459,Bay of Bengal,2111.3,774.7,30.61,22.42,4.87,53.83,32.67,5.62
8.28,-54.6025,165.3068,Arabian Sea,6719.0,389.6,38.92,9.57,7.03,4.5,16.5,4.37
7.53,18.6471,134.8406,Arabian Sea,9025.4,1415.3,39.17,16.18,4.23,29.8,31.0,3.57
7.6,-47.3265,-152.2016,Bering Sea,6747.1,758.0,39.28,33.06,5.13,10.88,1.56,8.66
7.84,-66.6055,-80.0267,Arabian Sea,1636.5,2923.9,37.6,23.64,9.1,62.17,27.18,4.55
8.13,83.6092,67.4429,South Pacific Ocean,461.7,1148.5,33.22,33.88,2.73,94.8,26.07,2.42
